Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,100nF,
C3,CP_Radial_D5.0mm_P2.50mm,1,47uF,
"C4, C5",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,20pF,
"C6, C7",CP_Radial_D4.0mm_P2.00mm,2,1uF,
"J1, J2",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
"Q1, Q2, Q3, Q4",TO-92_Inline,4,NPN,
"R1, R12, R2, R3, R4, R5, R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,8,470R,
"R10, R11, R13, R14, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5,10K,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,4K7,
"SW1, SW2",SHOU HAN 5.8 WSPT,2,SW_DPST,
U1,DIP-28_W7.62mm,1,ATmega8A-P,
U2,CA56-12EWA,1,CA56-12EWA,
U3,TO-92_Inline,1,TL431D,
"U4, U5",TO-92_Inline,2,MCP9700,
Y1,Crystal_HC18-U_Vertical,1,Crystal,
